sub,trial,web,time,control
3,c,t,47,18
2,r,j,64,16
9,c,j,52,12
1,0,r,66,10
8,r,t,72,9
1,c,t,108,27
4,r,j,59,11
5,c,t,59,12
7,c,t,57,16
6,r,j,49,10
1,0,c,41,13
9,r,t,105,16
1,r,j,114,11
8,c,j,45,16
3,r,j,57,13
2,c,t,51,11
7,r,j,161,29
6,c,t,64,22
4,c,t,37,10
5,r,j,82,12
1,0,c,48,15
9,r,j,180,34
1,r,t,157,22
8,c,t,37,13
3,r,t,94,17
2,c,j,71,22
7,r,t,92,16
6,c,j,72,16
4,c,j,43,10
5,r,t,42,8
3,c,j,50,16
2,r,t,49,12
9,c,t,44,10
1,0,r,45,11
8,r,j,89,11
1,c,j,117,28
4,r,t,60,8
5,c,j,39,13
7,c,j,48,13
6,r,t,50,11
