"编号","开始答题时间","结束答题时间","自定义字段","1.这个系统的使用体验相较上次出现了提升","2.我愿意频繁使用这个系统","3.我认为这个系统是简单的","4.我认为这个系统用起来很容易","5.我认为我不需要技术人员的帮助就能使用这个系统","6.我认为系统里的各项功能整合良好","7.我认为系统的交互具有良好的一致性","8.我想大多数人都能很快学会使用这个系统","9.这个系统的交互方式很直观","10.我对使用这个系统感到有信心","11.在使用这个系统前我不需要学习任何的新知识","12.这个系统在工作中非常有用","13.我发现这个系统很容易使用",
"1","2019-04-06 14:13:23","2019-04-06 14:14:16","","2","2","4","3","3","1","4","4","4","3","4","3","2",
"2","2019-04-06 14:23:38","2019-04-06 14:24:20","","4","4","4","4","3","4","3","4","3","4","3","4","4",
"3","2019-04-06 14:30:12","2019-04-06 14:30:51","","4","5","4","5","3","4","3","5","5","4","5","3","4",
"4","2019-04-06 14:43:30","2019-04-06 15:13:16","","5","4","5","4","4","4","4","5","5","5","5","5","5",
"5","2019-04-06 21:07:38","2019-04-06 21:08:33","","3","3","3","4","4","2","3","4","3","4","4","3","3",
"6","2019-04-06 22:20:10","2019-04-06 22:20:51","","4","4","4","3","4","4","4","4","4","4","4","4","3",
"7","2019-04-06 22:30:50","2019-04-06 22:32:08","","4","4","4","5","5","4","4","5","4","4","3","4","4",
"8","2019-04-06 23:40:01","2019-04-06 23:41:13","","4","4","5","4","4","3","3","5","4","4","5","2","4",
"9","2019-04-06 23:43:53","2019-04-06 23:44:48","","4","3","5","4","4","3","2","5","5","4","5","3","4",
"10","2019-04-06 23:45:02","2019-04-06 23:46:12","","4","3","5","4","4","3","4","4","4","5","4","4","3",
