RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,DURATION,FIXATION_COUNT,MEDIAN_FIXATION_DURATION,MEDIAN_SACCADE_AMPLITUDE,SACCADE_COUNT,TRIAL_LABEL
07_f_24,1,11,53505,190,202,3.34,189,Trial: 2
07_f_24,2,13,57537,205,192,2.41,205,Trial: 3
07_f_24,3,92,169557,463,204,1.83,462,Trial: 5
07_f_24,4,54,97465,248,216,1.82,247,Trial: 6
08_f_24,1,23,52513,143,228,3.02,142,Trial: 2
08_f_24,2,15,42593,119,224,1.83,119,Trial: 3
08_f_24,3,44,95509,191,244,1.52,191,Trial: 5
08_f_24,4,43,76513,154,212,1.48,154,Trial: 6
09_f_24,1,14,57517,177,208,3.27,176,Trial: 2
09_f_24,2,12,58461,188,204,4.16,187,Trial: 3
09_f_24,3,36,111513,272,244,1.26,271,Trial: 5
09_f_24,4,51,181521,423,264,1.58,422,Trial: 6
10_m_24,1,7,59517,196,204,2.35,195,Trial: 2
10_m_24,2,8,46489,148,194,2.37,147,Trial: 3
10_m_24,3,29,74505,196,200,1.82,195,Trial: 5
10_m_24,4,19,51521,116,216,2.46,116,Trial: 6
01_m_26,1,41,114589,351,216,2.65,350,Trial: 2
01_m_26,2,56,125485,347,216,2.13,346,Trial: 3
01_m_26,3,55,115513,274,242,1.63,274,Trial: 5
01_m_26,4,58,158669,350,256,1.62,349,Trial: 6
02_m_26,1,11,78497,217,220,2.09,216,Trial: 2
02_m_26,2,11,55485,144,246,2.28,143,Trial: 3
02_m_26,3,11,54513,131,180,1.3,131,Trial: 5
02_m_26,4,22,69485,159,204,1.37,158,Trial: 6
03_f_24,1,18,56493,145,260,2.28,144,Trial: 2
03_f_24,2,17,53497,134,248,2.16,134,Trial: 3
03_f_24,3,38,98529,190,298,1.79,190,Trial: 5
03_f_24,4,34,61469,142,242,2.19,141,Trial: 6
04_f_24,1,9,51485,163,216,2.32,162,Trial: 2
04_f_24,2,7,42497,124,222,3.35,124,Trial: 3
04_f_24,3,16,65505,105,260,1.92,104,Trial: 5
04_f_24,4,10,64477,155,264,1.71,154,Trial: 6
05_m_23,1,15,59505,166,242,2.07,165,Trial: 2
05_m_23,2,9,46501,117,308,2.26,116,Trial: 3
05_m_23,3,25,83513,162,260,1.71,161,Trial: 5
05_m_23,4,11,48497,76,280,1.5,75,Trial: 6
06_m_26,1,9,80521,242,220,2.57,242,Trial: 2
06_m_26,2,6,72525,198,238,2.38,198,Trial: 3
06_m_26,3,14,55509,77,188,1.93,76,Trial: 5
06_m_26,4,33,55481,136,184,1.8,136,Trial: 6
