编号,这个系统的使用体验相较上次出现了提升,我愿意频繁使用这个系统,我认为这个系统是简单的,我认为这个系统用起来很容易,我认为我不需要技术人员的帮助就能使用这个系统,我认为系统里的各项功能整合良好,我认为系统的交互具有良好的一致性,我想大多数人都能很快学会使用这个系统,这个系统的交互方式很直观,我对使用这个系统感到有信心,在使用这个系统前我不需要学习任何的新知识,这个系统在工作中非常有用,我发现这个系统很容易使用
1,2,2,4,3,3,1,4,4,4,3,4,3,2
2,4,4,4,4,3,4,3,4,3,4,3,4,4
3,4,5,4,5,3,4,3,5,5,4,5,3,4
4,5,4,5,4,4,4,4,5,5,5,5,5,5
5,3,3,3,4,4,2,3,4,3,4,4,3,3
6,4,4,4,3,4,4,4,4,4,4,4,4,3
7,4,4,4,5,5,4,4,5,4,4,3,4,4
8,4,4,5,4,4,3,3,5,4,4,5,2,4
9,4,3,3,4,4,3,2,5,5,4,5,3,4
10,4,3,5,4,4,3,4,4,4,5,4,4,3
mean,3.8,3.6,4.1,4,3.8,3.2,3.4,4.5,4.1,4.1,4.2,3.5,3.6
