I think that I would like to use the system frequently,I found the system to be simple,I thought the system was easy to use,I think that I could use the system without the support of a technical person,I found the various functions in the system were well integrated,I thought there was a lot of consistency in the system,I would imagine that most people would learn to use the system very quickly,I found the system very intuitive,I felt very confident using the system,I could use the system without having to learn anything new
2,4,3,3,1,4,4,4,3,4
4,4,4,3,4,3,4,3,4,3
5,4,5,3,4,3,5,5,4,5
4,5,4,4,4,4,5,5,5,5
3,3,4,4,2,3,4,3,4,4
4,4,3,4,4,4,4,4,4,4
4,4,5,5,4,4,5,4,4,3
4,5,4,4,3,3,5,4,4,5
3,3,4,4,3,2,5,5,4,5
3,5,4,4,3,4,4,4,5,4
